country,relationship_type,study_count
BLR,Pathogenic,1
BOL,Pathogenic,1
BRB,Pathogenic,1
BRN,Pathogenic,1
BTN,Endophytic,1
BWA,Endophytic,1
CHE,Mutualistic,1
CHN,Saprotrophic,1
CIV,Pathogenic,1
CMR,Unknown/Other,1
COG,Endophytic,1
CRI,Unknown/Other,1
CUB,Endophytic,1
CZE,Mycorrhizal,1
DEU,Antagonistic/Biocontrol,1
DEU,Mutualistic,1
DMA,Pathogenic,1
DNK,Antagonistic/Biocontrol,1
DNK,Endophytic,1
DNK,Mycorrhizal,1
DOM,Endophytic,1
DOM,Pathogenic,1
ECU,Antagonistic/Biocontrol,1
ECU,Saprotrophic,1
ERI,Endophytic,1
ERI,Mycorrhizal,1
ESP,Mutualistic,1
ESP,Mycorrhizal,1
ETH,Mutualistic,1
ETH,Unknown/Other,1
FRA,Mutualistic,1
FRO,Mutualistic,1
FSM,Pathogenic,1
GBR,Antagonistic/Biocontrol,1
GBR,Mutualistic,1
GBR,Saprotrophic,1
GEO,Antagonistic/Biocontrol,1
GEO,Mutualistic,1
GIN,Mycorrhizal,1
GIN,Unknown/Other,1
GNB,Unknown/Other,1
GRC,Endophytic,1
GRL,Endophytic,1
GRL,Mutualistic,1
GRL,Mycorrhizal,1
GRL,Pathogenic,1
GTM,Pathogenic,1
GUF,Antagonistic/Biocontrol,1
GUF,Mycorrhizal,1
GUM,Pathogenic,1
HKG,Unknown/Other,1
HND,Endophytic,1
HRV,Mycorrhizal,1
HRV,Unknown/Other,1
IMN,Endophytic,1
IRL,Pathogenic,1
IRN,Mutualistic,1
IRN,Mycorrhizal,1
IRQ,Antagonistic/Biocontrol,1
ISL,Mutualistic,1
ISL,Unknown/Other,1
ISR,Antagonistic/Biocontrol,1
JAM,Endophytic,1
JEY,Pathogenic,1
JEY,Unknown/Other,1
JOR,Endophytic,1
JOR,Mycorrhizal,1
KAZ,Mutualistic,1
KGZ,Endophytic,1
KGZ,Mutualistic,1
KOR,Antagonistic/Biocontrol,1
KOR,Mutualistic,1
LAO,Pathogenic,1
LBN,Antagonistic/Biocontrol,1
LBN,Pathogenic,1
LBY,Endophytic,1
LBY,Pathogenic,1
LBY,Unknown/Other,1
LSO,Mycorrhizal,1
LTU,Mycorrhizal,1
LTU,Unknown/Other,1
LUX,Endophytic,1
LUX,Unknown/Other,1
MAR,Antagonistic/Biocontrol,1
MAR,Mutualistic,1
MAR,Unknown/Other,1
MDG,Antagonistic/Biocontrol,1
MDG,Pathogenic,1
MLI,Mycorrhizal,1
MNG,Antagonistic/Biocontrol,1
MNG,Mutualistic,1
MOZ,Pathogenic,1
