iso_a3,country_name,centroid_lon,centroid_lat,gdp_year,gdp_current_usd,gdp_log10,study_count
VNM,Vietnam,106.346507808996,16.5442974922136,2024,476388230307.175,11.6779610232226,21
TUR,Turkey,35.1728012224334,39.137013307072,2024,1359123768774.12,12.13325900761409,20
BGD,Bangladesh,90.2471041127559,23.8606661326485,2024,450119432068.852,11.653327762234428,17
PRY,Paraguay,-58.443433000362,-23.2089093473312,2024,44458118397.4445,10.647951078090832,17
PER,Peru,-74.4207415923271,-9.10714962593639,2024,289221969062.941,11.461231278527174,17
ISR,Israel,34.9911381969568,31.4329786269405,2024,540379921261.681,11.732699203697035,16
KEN,Kenya,37.7962282749356,0.599448825411532,2024,120339557905.932,11.080408411681423,15
MLI,Mali,-3.59047300385746,17.3151390059251,2024,26794747239.8805,10.428049664613708,14
GEO,Georgia,43.5242560197085,42.1729419874369,2024,34189423544.9955,10.533891778382495,13
AUT,Austria,14.110430068073,47.5922934419805,2024,534790720466.822,11.728183862903675,12
ETH,Ethiopia,39.6097922793135,8.61440064916273,2024,149740297952.986,11.17533869295129,12
PHL,Philippines,122.919280085372,11.7293432249664,2024,461617509782.355,11.664282273842717,12
SVN,Slovenia,14.8005232442775,46.1158904650478,2024,72972015197.3859,10.863156339907867,12
VEN,Venezuela,-66.1705444163479,7.12227407973977,2024,119802963257.783,11.078467560211788,12
CZE,Czechia,15.3194407108538,49.7379966835855,2024,347034062928.479,11.540372104807693,11
PRI,Puerto Rico,-66.4730682024606,18.2285799319745,2024,126029527033.705,11.100472306431126,11
DNK,Denmark,10.0422117619727,55.9749821640371,2024,424524722037.047,11.627902986291733,10
GHA,Ghana,-1.21698963069079,7.94769971488172,2024,82308110386.4641,10.915442631354964,10
GRC,Greece,22.9642854447218,39.0479595974168,2024,256238371778.118,11.408644166016266,10
HKG,Hong Kong,114.113750104641,22.3982609030819,2024,406863396487.342,11.60944862025727,10
UKR,Ukraine,31.3155838482439,49.1956082304315,2024,190741262414.705,11.280444652671521,10
BEL,Belgium,4.64593819889158,50.638894962931,2024,671370081636.406,11.8269619838144,9
HUN,Hungary,19.37926775879,47.1659125090957,2024,222722738925.641,11.34776455868558,9
OMN,Oman,56.0621306377702,20.5857751222821,2024,107137198769.386,11.029940287034952,9
UGA,Uganda,32.3686653753119,1.27423154246739,2024,53911907086.1525,10.731684694884532,9
UZB,Uzbekistan,63.3030925490054,41.7754007521081,2024,114965293466.611,11.060566752259195,9
EST,Estonia,25.5450328781709,58.6729024296997,2024,43130419829.35,10.634783685567298,8
LTU,Lithuania,23.8970998762319,55.3237700627497,2024,84869215513.3648,10.928750187804186,8
URY,Uruguay,-56.0252057322354,-32.79134091527,2024,80961511073.5797,10.908278605286155,8
HRV,Croatia,16.401052951655,45.0758927621117,2024,92983810328.9088,10.96840733891002,7
IRQ,Iraq,43.7736761009852,33.0096663987365,2024,279641257615.385,11.446601246590262,7
PNG,Papua New Guinea,145.200496710606,-6.4685813912893,2024,31800428265.5246,10.502432968792663,7
SRB,Serbia,20.8066062928335,44.2113198320201,2024,90097765959.1114,10.954714022458985,7
