"code","iso","country","TCL.raw.2005","TCL.raw.2006","TCL.raw.2007","TCL.raw.2008","TCL.raw.2009","TCL.raw.2010","TCL.raw.2011","TCL.raw.2012","TCL.raw.2013","TCL.raw.2014","TCL.raw.2015","TCL.raw.2016","TCL.raw.2017","TCL.raw.2018","TCL.raw.2019","TCL.raw.2020","TCL.raw.2021","TCL.raw.2022"
44,"BHS","Bahamas",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
48,"BHR","Bahrain",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
50,"BGD","Bangladesh",0.00188939787473184,0.0021241450169835,0.00212412593971797,0.00236349501371876,0.00250195813614364,0.002643763146844,0.00236716830890044,0.00250789908225051,0.00266693674945876,0.00333078332774195,0.00414936323131431,0.00590442309329317,0.00827859430465422,0.00965262586301845,0.0106859641260748,0.0116010337448117,0.0112287772976877,0.00972505208570176
52,"BRB","Barbados",0.00170544351712102,0.00139012638686333,0.00216401841431473,0.00257393879679209,0.00276306491831781,0.00306685526165055,0.00360281496370427,0.00685022548684077,0.00652917166355864,0.00610500544733258,0.00551173329595832,0.00536561828609921,0.00151343001073524,0.00217551509488487,0.00414463314411614,0.00491564750345952,0.00502741351336585,0.00462327178562502
112,"BLR","Belarus",0.00330425984729547,0.00382869180662197,0.00398821949835266,0.0040710634946907,0.00400407924915848,0.00399446506812982,0.00406240676361715,0.00421449925166885,0.00404316161396841,0.00400112723512731,0.00396044546056221,0.00495006872843446,0.0058093247257521,0.00711132211365872,0.00801984723739746,0.00878823020023979,0.00819586074257207,0.0078937894788764
56,"BEL","Belgium",0.00301144947375162,0.00438524615798471,0.00522569985901885,0.00645602297920041,0.00654453946908224,0.00836585929248114,0.00792681172904951,0.00784593249190794,0.00694496674794826,0.0067284036830574,0.00499775349692531,0.00488129613324376,0.00453514403679612,0.00483919286191466,0.00514837050219862,0.00560788004876151,0.00667800217858616,0.00683890939896644
84,"BLZ","Belize",0.00468408486025709,0.00423313837405905,0.00409470171815478,0.00425167906823842,0.00493256331978975,0.0051227007448573,0.0076527985544116,0.00756864300228356,0.00850174697203088,0.00921108430283462,0.00949764664597617,0.00882549025183556,0.00937898490604057,0.0087830784763216,0.00900134177787198,0.0106304810822636,0.0093468094939079,0.00840939191572767
204,"BEN","Benin",0.0154004623571514,0.0130814877102065,0.0144809354103697,0.0109282188964589,0.0159654108169668,0.0147055671087077,0.0133528361081658,0.0112239795552424,0.0122103476985433,0.00797362048642775,0.00805567455994256,0.00967081965044994,0.00892694808926343,0.00953568421410492,0.00884363624980564,0.0100385997294047,0.00966957787557323,0.00899977284712775
60,"BMU","Bermuda",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
64,"BTN","Bhutan",0.000221041213431893,0.000246278593978016,0.000268339903234736,0.000286322971440793,0.00029891643487623,0.000577014472620187,0.000613341837332994,0.000633362650840444,0.000610859361497514,0.000615025995077802,0.000335105956153936,0.000402772185226584,0.000496363353378797,0.00055493094162163,0.000523147565898288,0.000565196580737369,0.00051208721848785,0.000455851902540998
