"code","iso","country","WWC.raw.2015","WWC.raw.2016","WWC.raw.2017","WWC.raw.2018","WWC.raw.2019","WWC.raw.2020","WWC.raw.2021"
454,"MWI","Malawi",0.16,0.16,0.16,0.16,0.16,-9999,-9999
458,"MYS","Malaysia",0.754091873168945,0.784246139526367,0.788093338012695,0.807223358154297,0.830619812011719,-9999,-9999
462,"MDV","Maldives",0.454,-9999,-9999,-9999,-9999,-9999,-9999
466,"MLI","Mali",0,-9999,-9999,-9999,-9999,-9999,-9999
470,"MLT","Malta",1,1,1,1,1,1,1
584,"MHL","Marshall Islands",0.4725,-9999,-9999,-9999,-9999,-9999,-9999
478,"MRT","Mauritania",0.071,-9999,-9999,-9999,-9999,-9999,-9999
480,"MUS","Mauritius",0.25,0.2709,0.2748,0.2771,0.2775,0.279,0.2808
484,"MEX","Mexico",0.917,-9999,-9999,-9999,-9999,-9999,-9999
583,"FSM","Micronesia",0.2764,-9999,-9999,-9999,-9999,-9999,-9999
498,"MDA","Moldova",0.361,-9999,-9999,-9999,-9999,-9999,-9999
492,"MCO","Monaco",1,1,1,1,1,1,1
496,"MNG","Mongolia",0.5348,-9999,-9999,-9999,-9999,-9999,-9999
499,"MNE","Montenegro",0.6095,-9999,-9999,-9999,-9999,-9999,-9999
504,"MAR","Morocco",0.6,0.71,0.76,0.774,0.79,-9999,-9999
508,"MOZ","Mozambique",0,-9999,-9999,-9999,-9999,-9999,-9999
104,"MMR","Myanmar",0.1198,-9999,-9999,-9999,-9999,-9999,-9999
516,"NAM","Namibia",0.324,-9999,-9999,-9999,-9999,-9999,-9999
520,"NRU","Nauru",0.5512,-9999,-9999,-9999,-9999,-9999,-9999
524,"NPL","Nepal",0.0808,-9999,-9999,-9999,-9999,-9999,-9999
528,"NLD","Netherlands",1,1,1,1,1,1,1
540,"NCL","New Caledonia",0.6664,-9999,-9999,-9999,-9999,-9999,-9999
554,"NZL","New Zealand",0.771,-9999,-9999,-9999,-9999,-9999,-9999
558,"NIC","Nicaragua",0.5371,-9999,-9999,-9999,-9999,-9999,-9999
562,"NER","Niger",0,-9999,-9999,-9999,-9999,-9999,-9999
566,"NGA","Nigeria",0.106,-9999,-9999,-9999,-9999,-9999,-9999
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",0.4973,-9999,-9999,-9999,-9999,-9999,-9999
807,"MKD","North Macedonia",0.469,-9999,-9999,-9999,-9999,-9999,-9999
578,"NOR","Norway",0.992,0.995,0.991,0.999,1,1,-9999
512,"OMN","Oman",-9999,-9999,0.99,0.99,0.99,0.99,0.99
586,"PAK","Pakistan",0.29,-9999,-9999,-9999,-9999,-9999,-9999
585,"PLW","Palau",0.6443,-9999,-9999,-9999,-9999,-9999,-9999
591,"PAN","Panama",0.383,-9999,-9999,-9999,-9999,-9999,-9999
598,"PNG","Papua New Guinea",0.0089,-9999,-9999,-9999,-9999,-9999,-9999
600,"PRY","Paraguay",0.112,-9999,-9999,-9999,-9999,-9999,-9999
604,"PER","Peru",0.534581,0.546292,0.658206,0.663817,0.656789,0.649522,0.669497
608,"PHL","Philippines",0.028,-9999,-9999,-9999,-9999,-9999,-9999
616,"POL","Poland",0.942,0.9479,0.9496,0.9598,0.962,0.9659,0.9692
620,"PRT","Portugal",0.971,-9999,-9999,-9999,-9999,-9999,-9999
634,"QAT","Qatar",1,1,1,1,1,-9999,-9999
178,"COG","Republic of Congo",0.2128,-9999,-9999,-9999,-9999,-9999,-9999
642,"ROU","Romania",0.478,0.497,0.515,0.534,0.549,0.566,0.583
643,"RUS","Russia",0.551,-9999,-9999,-9999,-9999,-9999,-9999
646,"RWA","Rwanda",0.016,-9999,-9999,-9999,-9999,-9999,-9999
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",0.5079,-9999,-9999,-9999,-9999,-9999,-9999
662,"LCA","Saint Lucia",0.4188,-9999,-9999,-9999,-9999,-9999,-9999
670,"VCT","Saint Vincent and the Grenadines",0.4666,-9999,-9999,-9999,-9999,-9999,-9999
882,"WSM","Samoa",-9999,-9999,-9999,-9999,0,0,-9999
674,"SMR","San Marino",0.9421,-9999,-9999,-9999,-9999,-9999,-9999
678,"STP","Sao Tome and Principe",0.2062,-9999,-9999,-9999,-9999,-9999,-9999
682,"SAU","Saudi Arabia",0.601,0.598,0.614,0.61,-9999,-9999,-9999
686,"SEN","Senegal",-9999,-9999,0.0440000009536743,-9999,-9999,-9999,-9999
688,"SRB","Serbia",0.1211,0.1386,0.1385,0.1412,0.1442,0.1502,0.1594
690,"SYC","Seychelles",0.5802,-9999,-9999,-9999,-9999,-9999,-9999
694,"SLE","Sierra Leone",0,-9999,-9999,-9999,-9999,-9999,-9999
702,"SGP","Singapore",1,1,1,1,1,-9999,-9999
534,"SXM","Sint Maarten",0.7485,-9999,-9999,-9999,-9999,-9999,-9999
703,"SVK","Slovakia",0.574,-9999,-9999,-9999,-9999,-9999,-9999
705,"SVN","Slovenia",0.917,0.888,0.933,0.96,0.975,0.983,0.9405
90,"SLB","Solomon Islands",0.0355,-9999,-9999,-9999,-9999,-9999,-9999
706,"SOM","Somalia",0,-9999,-9999,-9999,-9999,-9999,-9999
710,"ZAF","South Africa",-9999,0.58,0.57,0.58,0.57,0.57,0.56
410,"KOR","South Korea",0.9289,0.932219,0.932,0.9355,0.9391,0.94064,0.94359
728,"SSD","South Sudan",0,-9999,-9999,-9999,-9999,-9999,-9999
724,"ESP","Spain",-9999,0.8937,-9999,0.8937,-9999,-9999,-9999
144,"LKA","Sri Lanka",0.04,-9999,-9999,-9999,-9999,-9999,-9999
275,"PSE","State of Palestine",-9999,-9999,-9999,-9999,-9999,-9999,0.25
