"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
36,"AUS","Australia",816350.148696979,937054.564645282,1073137.5275066,1117341.04394831,946158.57420999,981560.504731655,846342.955581316,829988.043880874,753501.389797388,610421.08546198,587712.85155544,531845.437248937,810416.425879432,968433.159895923,734994.533200364,726530.969560888,654579.316758222,580764.832989682,658759.712659866,635155.969062133,546933.07926787,332314.110476086,366945.221390096,471785.457576214
40,"AUT","Austria",93348.1357559797,92599.0484411034,108551.20109416,113054.358881014,127557.935710751,128135.202834656,133132.970588199,132590.744450981,124042.733850891,114108.756984346,82795.2516131599,71899.4358224319,56914.792549052,40876.4976739205,42632.9427579829,36454.0233173532,45941.2470683396,56493.510172724,70072.1171718893,73349.3003834822,72489.4218232708,65011.8944739532,73260.3869356207,61649.5469717032
31,"AZE","Azerbaijan",12024.6172934139,6802.26423766912,0,0,24690.2125653798,48527.5148537914,64395.3378347843,74980.92162707,78872.3988391956,98159.5417952858,90455.5727316362,84119.1048418682,80244.7206856708,79157.058540364,77571.8951270083,77793.9779523299,80473.0042444754,81193.1647723655,78269.7986839024,85574.8055822517,94825.0988449607,90483.7596765848,97623.1408833712,102751.622650684
44,"BHS","Bahamas",2442.32862424243,2957.47960606061,3225.23666666667,3569.86448484848,3558.61974545455,3493.26298181818,3071.267,2636.0315030303,1916.89313939394,1950.75723636364,2566.13593939394,3090.32532121212,3082.35706666666,3109.75801818182,3190.4498969697,3530.13246666667,3736.14997575757,3536.39874545454,4047.84586060606,3898.98270909091,4179.4484,3777.59493333333,3259.71661632368,2760.74515698878
48,"BHR","Bahrain",66578.2362480646,67200.9260204024,53126.8856872281,40683.9013383768,40826.5926783737,39080.4990055183,41244.1509532911,41749.0780376854,60259.910159498,81566.8518856249,94218.3161177535,106925.682322297,108150.808263677,106488.838485555,115598.778118023,113759.24859005,112287.076008117,99243.5571804058,97266.4571138231,98095.158778482,109698.603021097,110516.533327463,108968.546669392,101896.911407169
50,"BGD","Bangladesh",196722.161721905,204035.731404691,216777.011601045,225108.782049376,228177.245045872,231176.995872364,243467.272528617,259668.087959328,266439.294853018,279305.632398034,292596.719368787,309567.167633153,325609.50567177,338049.950480114,340231.424791406,343862.832836864,355124.592786241,358634.833930312,365531.150834309,367759.437122312,405731.310871621,398719.984985295,411169.551857891,414249.605694859
52,"BRB","Barbados",3012.60983761588,3538.07874528185,3776.06163444317,3912.98211647263,3563.25980215494,3188.39920638199,2905.99773493561,2542.86796419627,2469.94876505988,3086.33573280961,3193.65559008033,3086.55348537114,3163.88498569252,2665.27057915146,2386.14558130852,1840.72554845602,1557.10027040697,1399.07235287674,909.259694559162,823.903109555178,1080.61123511775,54.1493537460374,111.488097441692,504.302247976144
112,"BLR","Belarus",0,0,0,4379.7088423379,35324.189723627,57732.6398378991,68158.0875397483,87881.3370940593,99300.6138171377,120214.55508867,127000.351881588,132674.228534193,162331.762349847,173940.887344181,182075.954431165,185224.080822982,170752.064563041,158216.529164397,144168.697602129,137881.966354385,120443.717569645,99679.9909802858,101378.984313439,100395.75682299
56,"BEL","Belgium",178318.609538555,173994.279238116,167733.081218582,163649.762224311,154918.004612248,153738.329472194,145227.912218547,142649.327779315,125998.165053818,126077.41350847,88265.9493592778,91305.5274351971,64173.986274871,48040.6146228566,44247.9551870213,34996.0893754992,45923.0120193692,52676.8796447335,61082.0775296589,79641.124728028,79180.0678811262,75217.3227101664,83616.283900134,68584.5317295997
84,"BLZ","Belize",775.125187878788,809.225593939394,1096.25608484848,1384.22991515151,1746.98344242424,1556.37432727273,1582.90796969697,1562.7402,1729.88887272727,1667.25144848485,1848.9248,1896.65872727273,2152.66713333333,1954.11923030303,2173.38801818182,1953.51883030303,2207.12437575758,2231.80245454546,2209.78609090909,2090.80993939394,2388.0766060606,2256.73736427349,2533.68741322018,2459.85433178386
