"code","iso","country","NRY.raw.1961","NRY.raw.1962","NRY.raw.1963","NRY.raw.1964","NRY.raw.1965","NRY.raw.1966","NRY.raw.1967","NRY.raw.1968","NRY.raw.1969","NRY.raw.1970","NRY.raw.1971","NRY.raw.1972","NRY.raw.1973","NRY.raw.1974","NRY.raw.1975","NRY.raw.1976","NRY.raw.1977","NRY.raw.1978","NRY.raw.1979","NRY.raw.1980","NRY.raw.1981","NRY.raw.1982","NRY.raw.1983","NRY.raw.1984","NRY.raw.1985","NRY.raw.1986","NRY.raw.1987","NRY.raw.1988","NRY.raw.1989","NRY.raw.1990","NRY.raw.1991","NRY.raw.1992","NRY.raw.1993","NRY.raw.1994","NRY.raw.1995","NRY.raw.1996","NRY.raw.1997","NRY.raw.1998","NRY.raw.1999","NRY.raw.2000","NRY.raw.2001","NRY.raw.2002","NRY.raw.2003","NRY.raw.2004","NRY.raw.2005","NRY.raw.2006","NRY.raw.2007","NRY.raw.2008","NRY.raw.2009","NRY.raw.2010","NRY.raw.2011","NRY.raw.2012","NRY.raw.2013","NRY.raw.2014","NRY.raw.2015","NRY.raw.2016","NRY.raw.2017","NRY.raw.2018","NRY.raw.2019","NRY.raw.2020","NRY.raw.2021"
466,"MLI","Mali",0.175963333333333,0.183294444444444,0.180246666666667,0.166834444444444,0.172295555555556,0.171171111111111,0.188197777777778,0.173102222222222,0.199533333333333,0.183435555555556,0.187868888888889,0.16538,0.166365555555556,0.198042222222222,0.233291111111111,0.210326666666667,0.199531111111111,0.20724,0.198684444444444,0.177201111111111,0.194473333333333,0.21266,0.22117,0.192094444444444,0.266113333333333,0.278208888888889,0.261067777777778,0.350316666666667,0.322057777777778,0.312833333333333,0.382007777777778,0.321433333333333,0.231964444444444,0.260793333333333,0.24848,0.189408888888889,0.198742222222222,0.21719,0.231664444444444,0.172304444444444,0.22288,0.186763333333333,0.211944444444444,0.225191111111111,0.215407777777778,0.203017777777778,0.194494444444444,0.216641111111111,0.238561111111111,0.234693333333333,0.293083333333333,0.284512222222222,0.291065555555556,0.292702222222222,0.308076666666667,0.328351111111111,0.322262222222222,0.349011111111111,0.344856666666667,0.301998888888889,0.299782222222222
470,"MLT","Malta",0.256344444444444,0.286267777777778,0.307678888888889,0.332356666666667,0.343415555555556,0.26797,0.298193333333333,0.287167777777778,0.317847777777778,0.25587,0.276338888888889,0.295655555555556,0.291344444444444,0.280037777777778,0.316252222222222,0.357624444444444,0.327234444444444,0.300766666666667,0.337204444444444,0.409338888888889,0.390251111111111,0.43967,0.453185555555556,0.41382,0.413727777777778,0.40381,0.404221111111111,0.403095555555556,0.415875555555556,0.423294444444444,0.406887777777778,0.427886666666667,0.437505555555556,0.460356666666667,0.563534444444444,0.585098888888889,0.73289,0.836383333333333,0.82041,0.841654444444444,0.741118888888889,0.784827777777778,0.700883333333333,0.789218888888889,0.858498888888889,0.884922222222222,0.883576666666667,0.98768,0.915591111111111,0.828297777777778,0.830401111111111,0.790677777777778,0.798451111111111,0.820861111111111,0.766681111111111,0.737167777777778,0.788631111111111,0.213748888888889,0.197264444444444,0.207155555555556,0.212793333333333
584,"MHL","Marshall Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
478,"MRT","Mauritania",0.0788411111111111,0.0801544444444444,0.0816188888888889,0.0822311111111111,0.0884822222222222,0.0828711111111111,0.0834577777777778,0.0862088888888889,0.0926966666666667,0.0805033333333333,0.0691322222222222,0.0566233333333333,0.0490577777777778,0.07574,0.0802244444444444,0.07678,0.0650344444444445,0.0772422222222222,0.0704444444444444,0.0760566666666667,0.08134,0.0719011111111111,0.0525855555555556,0.0568511111111111,0.0857933333333333,0.08843,0.0958588888888889,0.0999177777777778,0.10317,0.0643733333333333,0.0638966666666667,0.0629688888888889,0.0833033333333333,0.0957366666666667,0.105192222222222,0.110688888888889,0.0848866666666667,0.0965455555555556,0.102166666666667,0.100017777777778,0.0812033333333333,0.07801,0.101504444444444,0.0765644444444444,0.0989244444444444,0.0970955555555556,0.103098888888889,0.106154444444444,0.10459,0.134471111111111,0.107482222222222,0.154536666666667,0.146038888888889,0.163483333333333,0.14743,0.14643,0.165225555555556,0.184437777777778,0.159497777777778,0.177948888888889,0.2021
480,"MUS","Mauritius",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484,"MEX","Mexico",0.182906666666667,0.193628888888889,0.20809,0.243615555555556,0.263137777777778,0.272371111111111,0.271936666666667,0.288057777777778,0.273525555555556,0.302114444444444,0.303924444444444,0.302004444444444,0.316391111111111,0.325821111111111,0.333236666666667,0.300834444444444,0.341223333333333,0.361613333333333,0.338887777777778,0.37204,0.40981,0.367035555555556,0.38423,0.406098888888889,0.431208888888889,0.407262222222222,0.405001111111111,0.350361111111111,0.341233333333333,0.348307777777778,0.327922222222222,0.323873333333333,0.317088888888889,0.339694444444444,0.34339,0.365314444444444,0.354102222222222,0.36843,0.347443333333333,0.340551111111111,0.37297,0.356826666666667,0.377742222222222,0.379664444444444,0.357832222222222,0.385946666666667,0.394177777777778,0.402663333333333,0.372511111111111,0.403994444444444,0.368476666666667,0.417573333333333,0.435427777777778,0.468647777777778,0.442812222222222,0.482111111111111,0.524252222222222,0.528791111111111,0.529873333333333,0.502544444444444,0.517666666666667
583,"FSM","Micronesia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00229666666666667,0.00238888888888889,0.00245555555555556,0.00256333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
498,"MDA","Moldova",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.291902222222222,0.410666666666667,0.235345555555556,0.336795555555556,0.267411111111111,0.38214,0.288292222222222,0.269296666666667,0.243448888888889,0.3158,0.316443333333333,0.258091111111111,0.342976666666667,0.348204444444444,0.310992222222222,0.209625555555556,0.399278888888889,0.279561111111111,0.329112222222222,0.33575,0.255674444444444,0.366074444444444,0.441364444444444,0.327083333333333,0.440813333333333,0.497537777777778,0.515383333333333,0.520772222222222,0.267896666666667,0.637871111111111
492,"MCO","Monaco",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
496,"MNG","Mongolia",0.0474355555555556,0.105484444444444,0.103474444444444,0.101998888888889,0.0876755555555555,0.0708022222222222,0.0948788888888889,0.0659066666666667,0.0422433333333333,0.0898433333333333,0.112181111111111,0.0616755555555556,0.1353,0.09255,0.135954444444444,0.0924811111111111,0.0877144444444444,0.0721966666666667,0.0674455555555556,0.0572788888888889,0.0668355555555556,0.10293,0.143476666666667,0.104972222222222,0.151531111111111,0.155067777777778,0.122407777777778,0.140138888888889,0.144378888888889,0.123838888888889,0.102301111111111,0.0854388888888889,0.0834155555555555,0.0601066666666667,0.04787,0.0404911111111111,0.0480711111111111,0.0365744444444444,0.0364155555555556,0.0315711111111111,0.0316688888888889,0.0281388888888889,0.0373155555555556,0.0320455555555556,0.0204022222222222,0.03624,0.0310766666666667,0.0492422222222222,0.0822777777777778,0.0755011111111111,0.0883355555555556,0.0971066666666667,0.0874333333333333,0.112292222222222,0.04977,0.0959211111111111,0.0503788888888889,0.0914255555555556,0.0910977777777778,0.0885911111111111,0.130321111111111
