"code","iso","country","HFX.raw.1990","HFX.raw.1991","HFX.raw.1992","HFX.raw.1993","HFX.raw.1994","HFX.raw.1995","HFX.raw.1996","HFX.raw.1997","HFX.raw.1998","HFX.raw.1999","HFX.raw.2000","HFX.raw.2001","HFX.raw.2002","HFX.raw.2003","HFX.raw.2004","HFX.raw.2005","HFX.raw.2006","HFX.raw.2007","HFX.raw.2008","HFX.raw.2009","HFX.raw.2010","HFX.raw.2011","HFX.raw.2012","HFX.raw.2013","HFX.raw.2014","HFX.raw.2015","HFX.raw.2016","HFX.raw.2017","HFX.raw.2018","HFX.raw.2019","HFX.raw.2020"
50,"BGD","Bangladesh",0.962750400319263,0.960548911914265,0.958132437300497,0.955526187482896,0.952686232097317,0.949614073911782,0.946256472324844,0.9426066991515,0.938679569272383,0.934572595941385,0.930287422291804,0.925786296134492,0.921266625698318,0.916616988118674,0.912342191650852,0.908077226763847,0.903693319417768,0.899193264788706,0.894107462421588,0.888304732532759,0.881368262707208,0.872870070818231,0.863097941155132,0.85125483435341,0.837856611611914,0.822719768607959,0.806191540696793,0.788492713676361,0.769777041823735,0.750024743454428,0.729419899874764
52,"BRB","Barbados",0.00287068378921514,0.00275080133500852,0.0026346265353274,0.00252846554142864,0.0024298501562403,0.0023361256521554,0.0022468234200586,0.00216054205732669,0.00207921275572082,0.00200190393715663,0.00192795236578604,0.0018712146935734,0.00181232443559403,0.00175646498624449,0.00170428105055147,0.00165609194576285,0.00161023716971632,0.00156213242981523,0.00151219353683977,0.00146066844658126,0.0014084427012579,0.00134862164985722,0.00129159920860626,0.00123687942813312,0.00118476770727481,0.00113458455190739,0.00108655726075726,0.00103985313672515,0.00099442446908759,0.000949417901161813,0.000904970708691692
112,"BLR","Belarus",0.0355655730401408,0.0339739053777203,0.0326888979359688,0.0316283099252002,0.0307165939064166,0.0298607031500403,0.0290345743866629,0.0281937181751911,0.0274110256518015,0.0266545804966738,0.0258853916372953,0.0250868654827717,0.0242688737571044,0.0234157565219054,0.0225049706884313,0.0215691551518936,0.0198850461201247,0.0182526232518087,0.0166722354720679,0.0151747553669807,0.0137925211240394,0.0125298051668227,0.0113894142078678,0.0107769355314181,0.0102171477664784,0.00970881201796919,0.00924552457526625,0.00881537913107576,0.00841431028799301,0.00803902062140046,0.00769075467304816
56,"BEL","Belgium",0.00751671043298017,0.0070662245138246,0.00666313106775591,0.00628781337498011,0.00594186482370886,0.00562490286500238,0.00532477023338638,0.00503211844338267,0.0047586897613575,0.00450439607919737,0.00426951876278661,0.00404956544573205,0.00384739517777474,0.00359684608830908,0.00336810752914562,0.0031563596464537,0.00296076077581069,0.00277954827737314,0.00261103868385553,0.00245340636829889,0.0023052414984653,0.00229404269666232,0.00218529819493869,0.00208435653464757,0.00199083695539069,0.001906418840443,0.00182833538071882,0.00175403589925819,0.00168422413778896,0.0016211970304012,0.00156462946354717
84,"BLZ","Belize",0.214357941095738,0.20589912422682,0.204664814071076,0.203238575990097,0.201616386627481,0.19980655722511,0.197838900851368,0.195700373800493,0.193359909856735,0.190899138598253,0.188441771467537,0.187085706248225,0.185628820771808,0.184268872513872,0.182401991839468,0.180372969380804,0.178296342524892,0.1758956429648,0.173347534646505,0.170736182762855,0.16774713940218,0.164438446935678,0.160156995130626,0.155536613888218,0.149690973016499,0.143841311973032,0.13794313731482,0.13130021018104,0.124673432283369,0.118111442880166,0.111638293943534
204,"BEN","Benin",0.974624149058854,0.973571238726264,0.972403456200576,0.971122135293944,0.969759638187864,0.968316456106753,0.966808957774786,0.964284974192688,0.961619658148265,0.958906895369714,0.956285147816152,0.953806677432417,0.951710275649135,0.950659522404624,0.949904649088808,0.949424672085768,0.949047729882488,0.948733800283951,0.948496013678465,0.948144315715632,0.947736925928529,0.947176249220596,0.946442679403511,0.945744182300433,0.945029452278262,0.943886636351649,0.942352873339133,0.940331928474925,0.937976795612378,0.934769859647859,0.930840924951565
60,"BMU","Bermuda",0.0711271384947904,0.0682699047471121,0.0647619923273579,0.0615040172097286,0.0584663752496691,0.0556284099605453,0.0530343557411709,0.0506153869514437,0.0484111014200612,0.0464048808783231,0.0446309443525434,0.0432957176648603,0.0418097066944995,0.0404432216617453,0.0387325033445243,0.0369973860916201,0.0354127110774588,0.0337881548304967,0.0323023798888909,0.0310533716816346,0.0298416380354766,0.028896413273414,0.028097179457922,0.0272073092571685,0.0262732664663415,0.0254099612501992,0.0245717670268968,0.023545855573445,0.0225584100631076,0.0216199268969812,0.020729854098712
64,"BTN","Bhutan",0.82958892036452,0.826471546465626,0.822569364490958,0.817102480368509,0.810430160113669,0.802454723938197,0.793160183975731,0.782139999005025,0.768945801996702,0.753064118178587,0.733811298209409,0.710917436341994,0.683202337124251,0.651500622485836,0.614388997856494,0.572487119165095,0.532226682476229,0.490020341786481,0.453413924000555,0.418148386653657,0.384073755549041,0.354590504945032,0.325985511752747,0.297866549035571,0.271811691981485,0.246335420436992,0.223714521453643,0.202602344045456,0.193718137633524,0.18687934335243,0.181682066497444
68,"BOL","Bolivia",0.483454044932911,0.463583729282791,0.444687753857899,0.427783568281711,0.41228245608298,0.399464940166994,0.388601395669367,0.379123233417452,0.371221596392397,0.36558182479861,0.361269931751746,0.356965431674867,0.352136442814515,0.346438216997833,0.33968742391817,0.330748779006054,0.32070587541234,0.309825036630298,0.298075265507068,0.285124001708875,0.271705970205903,0.258119833166373,0.244858309181425,0.230898283000024,0.2173544907693,0.204241697966274,0.192487122816582,0.181774632879527,0.171916764518162,0.162754017955347,0.154218965169617
70,"BIH","Bosnia and Herzegovina",0.743665973410512,0.728379726825854,0.715757954732846,0.704554511220127,0.693942658752705,0.684297596069119,0.670378971405659,0.651392794185315,0.633943040893457,0.617892742721946,0.602626275125207,0.587062393054349,0.571001972062771,0.554045017594713,0.537101540109202,0.520961652017283,0.505299348239969,0.491477243628335,0.478405739006193,0.466347073182654,0.455699078452124,0.446107842404025,0.437823244293531,0.430369592432125,0.422756213744721,0.414643451853421,0.40648976659279,0.398551434429496,0.391428834189932,0.384989835017293,0.379024068758191
