"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019","UWD.raw.2020","UWD.raw.2021"
566,"NGA","Nigeria",8707.8288063373,9163.46913457817,8518.16760908624,8369.04005777879,8273.88536778763,8178.33053304843,8121.69476679544,7933.50338265803,7792.93735354656,7696.32831462985,7562.67508014241,7408.14974830787,7192.14046660535,6900.37630858306,6682.9247728927,6418.24088412887,6352.60971060042,6175.09916194249,5845.89179747936,5590.23597944561,5393.06689204505,4962.92707924736,4642.6471094808,4374.2851002897,4115.57285262828,3828.14678616046,3636.13049848941,3379.88305152546,3150.72739201821,2929.83294051037,2599.59182282753,2479.04840666953
570,"NIU","Niue",354.56441087588,349.53917036694,345.15218126435,339.20179236414,333.26729992054,327.02034279865,322.06076487126,309.99834026113,308.53673526995,302.82659817767,296.07878180121,288.13166792145,277.42954779403,265.6691362776,256.50055750012,245.32233258698,236.84795275377,230.71206074949,223.42715413729,222.83350119091,225.05815218813,227.40670852978,229.41785882861,232.36711573427,234.78673698478,237.33120090893,229.37252786073,223.27040058829,216.99538560076,210.3019230165,325.99099503274,326.7548220509
408,"PRK","North Korea",41.9070850657,40.80065540027,39.83103600371,38.87026076867,38.04557402737,37.54392132949,37.23377031501,36.85928889975,36.49606116348,36.33199322862,36.3000951041,37.00435672237,38.20017347167,39.79676948408,41.44007355965,43.20842456817,46.36068743583,50.93302353053,55.76899368063,59.90588575375,62.77727966433,63.60858522508,63.54742064193,63.0450768877,62.95556877342,63.83793289781,65.47584913611,67.33777542613,67.17942212397,67.48435144521,68.66428213775,61.48039926679
807,"MKD","North Macedonia",308.27330351226,285.55327425778,273.20870822731,229.19185653125,211.76024369563,185.47417855529,152.33585798342,136.69345828996,128.28760292977,93.41263311177,75.04990457247,68.36431334276,62.20356730835,61.37106107346,54.69600699635,48.20712718324,49.09430636794,47.09132139345,46.89448823981,48.48812499157,43.82564063081,43.986277937,48.00234853401,47.94654189284,46.72644428484,45.67953140085,49.46570955891,43.60308748221,34.57412718819,33.25063653669,29.0244098653,24.93236362548
578,"NOR","Norway",3.01960501205,2.85233519269,2.75805256267,2.66817207772,2.62553375437,2.61490133151,2.59366078929,2.44506473524,2.35000964146,2.35246952806,2.3033653627,2.19808931732,2.2557196107,2.25062659223,2.14425806505,2.35379065098,2.43161885335,2.53705289668,2.71352440795,2.77045607832,2.68350095109,2.56661709336,2.45287030233,2.29066722352,2.15698777035,2.06767897371,1.94754598202,1.98552373723,2.0332400024,2.04629501892,1.97117174948,1.95096707355
512,"OMN","Oman",212.50826224531,190.28987381284,167.71814026311,150.98677811671,138.73866700388,126.08358867747,115.18401387929,105.76424359741,97.94692524972,90.80579134459,84.00190612815,76.57262627784,70.1771599601,64.64210634712,59.85269393142,55.75865051135,53.75754735522,52.87993809921,52.82258423827,52.99877034406,51.86910108218,51.27722788372,50.56738269111,49.84207654538,49.5726819085,50.10259815172,50.96725829929,51.05933145375,50.22353293521,49.25951596616,46.73621855443,44.85515875579
586,"PAK","Pakistan",4357.65110151715,4176.07904412981,4042.88342965057,3931.49857876934,3791.08566151119,3643.10414601687,3451.6508012864,3298.38898197798,3139.28746638026,3009.67711836762,2883.59121874081,2771.22095365572,2646.41431381376,2528.80121637329,2435.53286105795,2340.95241396702,2217.5604957669,2112.37234639358,2056.30323835594,1953.17582583212,1822.25056581128,1708.94065763531,1591.26250421616,1532.09941264563,1457.20760226225,1389.01156053574,1275.87991446438,1185.20308435142,1086.23626270996,1001.21407479058,863.0482929711,805.61289262528
585,"PLW","Palau",652.47929407084,625.14513127223,599.35238988066,580.81698996511,557.23056618349,535.69194163815,516.29103680966,489.70499901048,476.40016416756,466.89224644776,457.00293590477,446.95859899406,437.32746081054,429.05837609576,424.13131780327,418.65030985213,413.49804866453,406.90575434375,384.59940986121,386.86942520386,388.40383300431,390.82847796767,393.95605533036,400.38189810133,401.04276502895,401.54629514167,405.73976615886,402.87436601353,396.753159664,389.90424305648,387.45877447748,386.60863139599
591,"PAN","Panama",544.57092132127,509.21918663706,452.34599897162,358.17700874922,322.02324464006,312.59021135198,303.72805713714,296.54552578716,301.29748036769,268.61987151803,259.59339766788,253.28412937077,238.14708311538,242.47833477412,242.37933999537,244.29821342169,216.69820891775,221.41084902319,200.99007078891,211.36958128401,192.31712748399,175.99088880966,170.13516948673,168.17346835373,161.16729189959,145.85938096087,157.68717071398,163.23182732711,155.71911780727,150.26006288892,140.4458682615,135.47847313517
598,"PNG","Papua New Guinea",2935.37663514558,2846.13020747558,2732.85390807062,2599.17901754068,2457.3477281018,2332.97519431938,2246.57814871208,2149.11127295736,2139.57799732007,2094.40350513307,2052.93031693423,1986.55661446655,1932.73437560852,1847.08427986806,1811.23877812512,1821.80875198689,1814.04486250721,1802.82191528825,1782.17087137967,1825.27583487946,1821.46050875617,1756.64858890518,1738.09727238294,1706.17142795681,1668.43430766729,1618.5364273079,1584.34980580726,1532.51878980806,1467.70964785225,1423.568561009,1393.72020846737,1342.97530075376
