"code","iso","country","IF5.raw.2005","IF5.raw.2006","IF5.raw.2007","IF5.raw.2008","IF5.raw.2009","IF5.raw.2010","IF5.raw.2011","IF5.raw.2012","IF5.raw.2013","IF5.raw.2014","IF5.raw.2015","IF5.raw.2016","IF5.raw.2017","IF5.raw.2018","IF5.raw.2019","IF5.raw.2020","IF5.raw.2021","IF5.raw.2022"
296,"KIR","Kiribati",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
689,"XKX","Kosovo",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
414,"KWT","Kuwait",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
417,"KGZ","Kyrgyzstan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
418,"LAO","Laos",510.10590497394,967.478607795814,1231.43368069869,1363.96666494506,1871.3690039817,2294.77744716725,2105.18823929969,2133.83769319794,2372.75382562293,3036.28740526732,4017.60093014165,4876.00228160404,5309.38319213739,5645.64131329147,5316.32166464906,4710.23885807976,4255.27111567615,4101.84239212601
428,"LVA","Latvia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
422,"LBN","Lebanon",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
426,"LSO","Lesotho",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
430,"LBR","Liberia",151.2859126309,139.519740935861,82.5297644891057,65.2299217373779,74.7556547357191,50.4426078681648,52.3541869639991,52.3247349446796,104.443993432862,119.79213578864,135.298879561327,152.679638930208,179.436318710078,158.862557932689,173.951139693073,197.79944004015,202.518794116659,202.819221999731
434,"LBY","Libya",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
438,"LIE","Liechtenstein",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
440,"LTU","Lithuania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
442,"LUX","Luxembourg",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
446,"MAC","Macao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
450,"MDG","Madagascar",1503.41965121634,1658.99372197933,2229.13042767827,2470.12996021467,2586.05434646735,2647.1527865797,3503.38970496465,3629.73544793451,4500.36675967554,5783.35861564339,6700.78466358088,7022.99831990923,9121.40821543759,11070.3587160751,11132.63768144,12119.2525542001,12331.8991241782,10863.2250214694
454,"MWI","Malawi",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
458,"MYS","Malaysia",2231.0275665754,3234.186065457,4241.73136104153,5186.74530133661,6016.17641699706,6125.0441549518,5848.5668260396,7377.97561134911,6645.14035691058,7603.93599112187,7672.34680319406,8022.34899057062,6054.83508888412,6395.39471972287,4325.31949958214,3379.81337782729,2488.05818403914,1930.6691421525
462,"MDV","Maldives",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
466,"MLI","Mali",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
470,"MLT","Malta",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
584,"MHL","Marshall Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
478,"MRT","Mauritania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
480,"MUS","Mauritius",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
484,"MEX","Mexico",171.829753256391,162.497795496393,200.841599761977,243.030122982545,295.416962449303,337.221135732505,379.633339542512,429.315463223671,714.012106548862,683.9498075819,724.150790770249,887.59714903924,1062.46638589677,944.513506680927,1941.49423578275,2181.55289816843,2395.24059506582,2457.33740359072
583,"FSM","Micronesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
498,"MDA","Moldova",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
