"code","iso","country","NTL.raw.1992","NTL.raw.1993","NTL.raw.1994","NTL.raw.1995","NTL.raw.1996","NTL.raw.1997","NTL.raw.1998","NTL.raw.1999","NTL.raw.2000","NTL.raw.2001","NTL.raw.2002","NTL.raw.2003","NTL.raw.2004","NTL.raw.2005","NTL.raw.2006","NTL.raw.2007","NTL.raw.2008","NTL.raw.2009","NTL.raw.2010","NTL.raw.2011","NTL.raw.2012","NTL.raw.2013","NTL.raw.2014","NTL.raw.2015","NTL.raw.2016","NTL.raw.2017","NTL.raw.2018","NTL.raw.2019","NTL.raw.2020","NTL.raw.2021"
156,"CHN","China",9326550,10196234,10262834,13478002,12918729,14024152,15839927,15806172,16883387,18199696,19127973,20763983,25012832,24389455,24204768,26970294,26653333,27881387,30002171,32215119,33608269,48208134,47198292,46958337,44815679,79607442,65109535,81653320,59595499,65983118
170,"COL","Colombia",762881,1017034,1023838,1267386,1182193,1396318,1456387,1395678,1477281,1444820,1462701,1304268,1604992,1403101,1319782,1423770,1428914,1456040,1538011,1539485,1771610,3176711,3191044,3185969,3093424,3717617,4690444,4097242,3539818,3389490
174,"COM","Comoros",821,1111,841,1536,1473,1031,1792,1452,2400,1874,1626,799,2615,2099,1274,1114,970,1266,2857,1757,2213,4833,3183,4016,3802,9920,11449,7080,4592,6724
184,"COK","Cook Islands",481,555,512,624,589,559,639,602,619,628,646,602,713,530,591,531,496,667,553,537,536,587,575,579,578,612,610,633,619,621
188,"CRI","Costa Rica",96742,144376,163859,179636,205123,194251,204009,226283,250558,257342,258858,224731,287819,247490,233700,272512,268442,276821,290538,284064,321923,460766,453814,461879,436431,498155,526688,529581,492137,487634
384,"CIV","Cote d'Ivoire",51254,71943,63529,101802,115312,138626,172141,187702,193293,209605,218168,180407,230522,211009,209431,215198,211171,249184,244677,212921,246652,1409067,1274178,1371020,1344650,1875888,2002202,1886771,1820579,2023658
191,"HRV","Croatia",177086,260039,261816,400085,463307,464855,584973,560456,603536,668546,621185,734946,626899,852339,719196,751847,773757,789451,851037,776557,961549,773818,811057,771047,790067,908458,914574,922869,819468,897140
192,"CUB","Cuba",99051,162482,163389,213097,205385,194695,244800,263327,280652,265938,241946,206399,439284,322142,251778,308941,299253,313293,391282,413228,403503,783075,777691,830599,776041,964080,960740,990138,870445,867845
531,"CUW","Curacao",12683,12496,12488,13621,13195,13264,14660,14157,14484,14396,13909,14206,13598,13797,13787,13829,13482,13483,13100,13796,14917,14387,14486,15030,15032,15848,15667,16685,16568,16888
196,"CYP","Cyprus",72246,71915,72913,90135,87362,93125,96198,106626,110405,112238,119897,120798,120730,122831,129283,129870,125003,128873,137471,129014,135785,141617,142563,142466,143493,158765,156374,164019,150116,157073
203,"CZE","Czech Republic",1331079,1166015,1124931,1626253,1579004,1336500,1937857,1668050,1904936,2197560,2394022,1857985,1614367,1927837,1715026,1525305,1604010,2003622,2422404,1732228,2152999,1298901,1204965,1221063,1262376,1538327,1571326,1550033,1365811,1776237
180,"COD","Dem. Rep. Congo",58599,65425,65601,72719,74201,64754,68472,68893,71885,79654,79340,66946,92513,86343,89974,91139,93361,98228,108941,113942,129289,4507205,4001711,4453908,5466674,5673674,5903701,5157532,4355678,5050518
208,"DNK","Denmark",745650,669108,707344,1108707,809525,774319,954963,958629,992158,866955,616829,925208,932011,833513,827917,866588,764186,864373,1421814,845238,1062477,626591,550161,551178,578500,557742,643662,608813,565423,814984
262,"DJI","Djibouti",2353,3459,3112,3533,3295,2576,2176,2249,2687,2789,3303,4039,4636,3943,4169,5282,5997,6160,6937,7397,7042,13657,15264,16706,16758,26968,24879,31815,26565,28407
212,"DMA","Dominica",1083,2255,1659,2132,2589,1931,2918,2979,3405,3138,3343,2687,3449,3440,3013,3369,2585,3520,3597,3931,4336,5469,5528,5626,5344,5594,4292,6232,5978,5957
214,"DOM","Dominican Republic",106292,131375,145173,174578,186856,190882,181908,244968,257505,250708,262660,260897,267146,243394,229303,252329,240167,221097,250199,277111,285272,443656,439005,460478,450511,536177,562868,606414,592030,656841
218,"ECU","Ecuador",291094,355020,338058,428151,501858,494242,522630,533441,572044,578931,605640,608452,760565,678838,671045,715379,677911,782678,735831,824068,961381,1346449,1417427,1482329,1477958,1901054,2445844,1997927,1813680,1918262
818,"EGY","Egypt",1455556,1524923,1585581,1909082,2031698,2033763,2142871,2320407,2463667,2599995,2641255,2802435,3024662,3055685,3165733,3296811,3235959,3333030,3458801,3533165,3672868,4554326,4452617,4481092,4508509,7106491,5324583,5597963,5024562,5408881
