"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019","SOE.raw.2020","SOE.raw.2021","SOE.raw.2022"
384,"CIV","Cote d'Ivoire",0.00131456701985919,0.00129724627191372,0.00141615812894648,0.00131817457394107,0.0014845456603082,0.00160920360985211,0.00145740968753324,0.00141219775994787,0.00148756765083408,0.00144184071199843,0.00148699291923899,0.00136123140223198,0.00155643953744096,0.00160048697336498,0.00152263169420527,0.00153057098908559,0.00154421589817493,0.00163279395524461,0.0015254744590981,0.00163274429130874
191,"HRV","Croatia",0.0200678550021575,0.0190165311991573,0.0193190374091782,0.0177383236492821,0.015723451056577,0.0143122818681537,0.0122144301788032,0.0105186570589569,0.0105057591854056,0.00972829777696333,0.00911743552907617,0.00883327235095474,0.0085079801569871,0.00801633240340191,0.00756401250094441,0.00736490757782848,0.00683472015427165,0.00626506437320655,0.0063048884099038,0.00638795791775233
192,"CUB","Cuba",0.00575516703712158,0.00499521795978466,0.00492644131480693,0.00467434152067086,0.00435408389143444,0.00402477733167976,0.00377791402905777,0.00338382636182552,0.003438427404468,0.00341757849615333,0.00334679847785513,0.00342533284948914,0.00336539259931478,0.00319195339939244,0.00283458018486116,0.00292553183905753,0.00294979667916502,0.00280015388484057,0.00290904387137579,0.00285645564182726
531,"CUW","Curacao",0.00466664949035364,0.00465799889933126,0.00536980101143266,0.00445061158481908,0.00437782766426152,0.00419925054593365,0.00394358043250598,0.00487379373362297,0.00445345607302006,0.00423618207706005,0.0040323886018304,0.00379555864554485,0.0038672223993216,0.00452563335143124,0.00421389946579486,0.00394545000735298,0.00412501791424115,0.0038271333370007,0.00365393788969995,0.00379636908265578
196,"CYP","Cyprus",0.0196107294521474,0.0188848233354122,0.0170998491197637,0.0164938270266909,0.016572704459049,0.0157385361424589,0.0148299648686327,0.0152407484506894,0.0134305475280281,0.0132515714408718,0.012180482581211,0.0116944572947331,0.011677760888718,0.0114907376517279,0.00867995122006099,0.00788846076517737,0.00770820267544229,0.00738396038703931,0.00773320068361291,0.00691672794512222
203,"CZE","Czech Republic",0.0183532362792525,0.0164726063323999,0.0173848465151378,0.0159928448110868,0.0137499090183091,0.01339980528996,0.012525906305114,0.0117458539026292,0.0111584498809011,0.0102257180240708,0.00999084886423564,0.00971260923466931,0.00901114844873182,0.00866641737391822,0.00789283609673867,0.0082033842445017,0.00717955439519483,0.00665377376787701,0.00689351574417853,0.00692410156174297
180,"COD","Dem. Rep. Congo",0.0139978817774972,0.0138339874025008,0.0142248013702253,0.0140418369003849,0.0140256277208026,0.01427414470477,0.0141394048610675,0.0142218908342968,0.0141344717172456,0.0139253297599534,0.0140453847336955,0.0137197427125026,0.0135926690968468,0.0141694656096034,0.0136710619863511,0.0133635354938553,0.0135636607782604,0.0134682399885836,0.0134277973268458,0.0135093333511098
208,"DNK","Denmark",0.00446401441251818,0.00399479526043265,0.00411530861694886,0.00393176810801145,0.00346779437042108,0.00341056308612004,0.00315460648223591,0.00296868900317567,0.00289004108212393,0.00260172262401802,0.00253761207859131,0.0025514584927829,0.00231099249756719,0.00219532201136411,0.00189694312855234,0.00192240915456301,0.00173520482323862,0.0016083696654206,0.00161929552677314,0.00167600547344529
262,"DJI","Djibouti",0.00208542328334224,0.00221688170266705,0.00224943943832959,0.00215776082075222,0.00224159457794696,0.00239534252472743,0.00225641790276421,0.00246958729525448,0.00242361268785759,0.0022889699943431,0.00235330111565441,0.00214962911918583,0.0022853519034404,0.00225881108784824,0.00240455581229009,0.0022339560592513,0.00220875585012252,0.00249723103312412,0.002481793079267,0.00235596966152065
212,"DMA","Dominica",0.00106909803007091,0.000971299060145973,0.00114745391505539,0.0010131961618131,0.000957578484594123,0.000855517980552257,0.00083176447098793,0.00108779960880339,0.000930580834954455,0.000863409869309283,0.000825255527628569,0.000784885143327743,0.000829870584647795,0.000994327362571218,0.000678638252317471,0.000615874770480198,0.000679880327578086,0.000649847535684554,0.000621834595290955,0.000630856633699219
