"code","iso","country","VOA.raw.1960","VOA.raw.1961","VOA.raw.1962","VOA.raw.1963","VOA.raw.1964","VOA.raw.1965","VOA.raw.1966","VOA.raw.1967","VOA.raw.1968","VOA.raw.1969","VOA.raw.1970","VOA.raw.1971","VOA.raw.1972","VOA.raw.1973","VOA.raw.1974","VOA.raw.1975","VOA.raw.1976","VOA.raw.1977","VOA.raw.1978","VOA.raw.1979","VOA.raw.1980","VOA.raw.1981","VOA.raw.1982","VOA.raw.1983","VOA.raw.1984","VOA.raw.1985","VOA.raw.1986","VOA.raw.1987","VOA.raw.1988","VOA.raw.1989","VOA.raw.1990","VOA.raw.1991","VOA.raw.1992","VOA.raw.1993","VOA.raw.1994","VOA.raw.1995","VOA.raw.1996","VOA.raw.1997","VOA.raw.1998","VOA.raw.1999","VOA.raw.2000","VOA.raw.2001","VOA.raw.2002","VOA.raw.2003","VOA.raw.2004","VOA.raw.2005","VOA.raw.2006","VOA.raw.2007","VOA.raw.2008","VOA.raw.2009","VOA.raw.2010","VOA.raw.2011","VOA.raw.2012","VOA.raw.2013","VOA.raw.2014","VOA.raw.2015","VOA.raw.2016","VOA.raw.2017","VOA.raw.2018","VOA.raw.2019","VOA.raw.2020","VOA.raw.2021","VOA.raw.2022","VOA.raw.2023"
204,"BEN","Benin",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.259205192327499,-9999,0.425980746746063,-9999,0.41292342543602,-9999,0.0508796386420727,0.187651932239532,0.0530563071370125,-0.0299640763550997,0.362777709960938,0.368180990219116,0.344647467136383,0.342523217201233,0.314489126205444,0.16639056801796,0.124485470354557,0.155496388673782,0.264593005180359,0.294565856456757,0.40838611125946,0.381144016981125,0.24830150604248,0.0611070208251476,-0.0731990188360214,-0.242977663874626,-0.348290830850601,-9999
60,"BMU","Bermuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.18036329746246,-9999,1.16662049293518,-9999,0.939376175403595,-9999,1.12552392482758,1.20039057731628,1.13497161865234,1.15323007106781,1.01727342605591,0.972128868103027,0.967198193073273,0.963811635971069,0.988284409046173,1.00905168056488,1.02567172050476,1.00476729869843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
64,"BTN","Bhutan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.952189922332764,-9999,-1.098304271698,-9999,-1.11235654354095,-9999,-1.29027080535889,-1.14678192138672,-0.965037107467651,-1.07215547561646,-1.05876350402832,-0.872591912746429,-0.505405187606812,-0.461808323860168,-0.416917324066162,-0.404029369354248,-0.280920058488846,-0.158783659338951,-0.10293859988451,-0.0348062813282013,-0.0258919056504965,0.0109545132145286,0.042394045740366,0.0739894956350327,0.151467397809029,0.219684556126595,0.155555993318558,-9999
68,"BOL","Bolivia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.155518606305122,-9999,0.353770107030869,-9999,0.189972907304764,-9999,0.140369892120361,-0.0564173422753811,-0.170450285077095,-0.156710430979729,0.0764636099338531,0.0422239750623703,0.0029617075342685,0.00694658420979977,-0.0392411425709724,-0.0682377889752388,-0.0815852954983711,-0.0689930468797684,-0.0263046491891146,-0.0046573942527175,-0.0363983437418938,-0.0246251747012138,-0.0593984983861446,-0.116986528038979,-0.0851807668805122,-0.114208891987801,-0.19810938835144,-9999
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.103825636208057,-9999,-0.00821057427674532,-9999,-0.108343385159969,-9999,-0.0870445370674133,0.209610521793365,0.168824627995491,0.213584735989571,0.187260136008263,0.131010442972183,0.0151520045474172,0.00317180575802922,-0.0824492052197456,-0.159755006432533,-0.100325390696526,-0.116462923586369,-0.0709605738520622,-0.0980892330408096,-0.131173372268677,-0.205769211053848,-0.259293049573898,-0.243577122688293,-0.322684556245804,-0.316597819328308,-0.325712889432907,-9999
72,"BWA","Botswana",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.86250102519989,-9999,0.749341487884521,-9999,0.674277007579803,-9999,0.666893184185028,0.706076979637146,0.735869944095612,0.594607651233673,0.513100147247314,0.507903635501862,0.51350462436676,0.437099367380142,0.455533385276794,0.425984054803848,0.53296971321106,0.489367246627808,0.44752436876297,0.45068359375,0.403236478567123,0.393605440855026,0.462329059839249,0.498026460409164,0.488893240690231,0.451135843992233,0.446497648954391,-9999
76,"BRA","Brazil",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.242076978087425,-9999,0.332852572202683,-9999,0.301593601703644,-9999,0.472238034009933,0.442828863859177,0.38860946893692,0.457679510116577,0.500075697898865,0.537074029445648,0.5689857006073,0.521999180316925,0.571348905563354,0.513676166534424,0.477906197309494,0.417426258325577,0.471947550773621,0.458866268396378,0.451864898204803,0.449006587266922,0.37796550989151,0.302083343267441,0.28843942284584,0.255604922771454,0.214864358305931,-9999
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.649972319602966,-9999,-0.723196625709534,-9999,-0.712918996810913,-9999,-0.833585381507874,-0.776591658592224,-0.797836303710938,-0.776663303375244,-1.09865534305573,-1.06153678894043,-1.01813435554504,-0.730714499950409,-0.650570631027222,-0.610339283943176,-0.506374061107636,-0.505072593688965,-0.625015437602997,-0.754139482975006,-0.900963008403778,-0.948658406734467,-0.85771518945694,-0.967720568180084,-0.931005954742432,-0.848819255828857,-0.816516160964966,-9999
100,"BGR","Bulgaria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.428986370563507,-9999,0.437017410993576,-9999,0.460498780012131,-9999,0.52853125333786,0.545891940593719,0.5696901679039,0.594892740249634,0.577117204666138,0.69093531370163,0.57797634601593,0.560471177101135,0.531482577323914,0.450080156326294,0.400915592908859,0.337270796298981,0.366481721401215,0.432587623596191,0.402202278375626,0.429834395647049,0.365130007266998,0.354615122079849,0.259695321321487,0.284617066383362,0.285204857587814,-9999
