"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
40,"AUT","Austria",2.86222188236781e-07,2.89210246009907e-07,2.63029679240903e-07,2.62475425758218e-07,2.56794817676978e-07,2.58650748641064e-07,2.62730438842026e-07,2.56262645897859e-07,2.45002856341484e-07,2.32390259587899e-07,2.25346065334877e-07,2.33502265816344e-07,2.34694977954366e-07,2.47672542792122e-07,2.38047054227391e-07,2.35678271970153e-07,2.21943594879285e-07,2.07204901509077e-07,2.03047424281405e-07,1.94713915136364e-07,2.02933929980204e-07,1.92432386737479e-07,1.84554812330704e-07,1.85831534335854e-07,1.76507136693066e-07,1.78912471862281e-07,1.7781907383262e-07,1.78964079298944e-07,1.67730334236203e-07,1.67366229596531e-07,1.66076639914902e-07,1.66639501522627e-07,1.49823370341738e-07
31,"AZE","Azerbaijan",1.18871749469116e-06,1.15044228314846e-06,1.61271390739901e-06,1.8259076632595e-06,2.00024996154328e-06,1.88930938093752e-06,1.77183746576229e-06,1.62660778590782e-06,1.56068104692141e-06,1.38336521958499e-06,1.28104813892497e-06,1.1377498131817e-06,1.0417637135007e-06,9.99277359071562e-07,9.59846525831999e-07,8.0236829184534e-07,6.13517361809821e-07,4.89367517408587e-07,4.92574373875099e-07,4.073092503809e-07,3.78813796879467e-07,3.95695481796878e-07,4.1255031166117e-07,3.98688785977193e-07,3.97196232173773e-07,3.98057357363361e-07,4.08975730920244e-07,4.05171429024354e-07,4.04158774014553e-07,4.30603852711568e-07,4.44711877929252e-07,4.51242634626733e-07,4.35286434737103e-07
44,"BHS","Bahamas",2.37327841432523e-07,2.45119188576875e-07,2.40763881218015e-07,2.26219922840828e-07,2.228390500539e-07,2.22720830264408e-07,2.12658906793588e-07,1.79783410008978e-07,2.27938518251997e-07,2.06371109104153e-07,1.973296989673e-07,1.86128730602225e-07,1.8878277082088e-07,1.92755165450588e-07,1.92096345379977e-07,1.73947994511047e-07,1.66453803235477e-07,1.66569916595137e-07,1.746976643147e-07,1.9979548419673e-07,2.02953940748909e-07,1.94681207838237e-07,1.8422819850949e-07,1.89052447195272e-07,1.92915046841664e-07,1.99716998067413e-07,1.97603908677619e-07,2.15003996204639e-07,2.05069614155089e-07,2.09630119650053e-07,2.48752581902741e-07,2.05860337806418e-07,1.815498460308e-07
48,"BHR","Bahrain",1.49995792682351e-06,1.3097999736544e-06,1.28573590000772e-06,1.42906617481984e-06,1.33000268362465e-06,1.2788776825503e-06,1.299049548739e-06,1.21261131301448e-06,1.21319582381779e-06,1.22144485720465e-06,1.19221857952523e-06,1.06262658992892e-06,1.01061077134038e-06,9.51955613138143e-07,9.15496367780911e-07,9.10955423360992e-07,8.42142857938598e-07,9.44865661539736e-07,9.78694682674131e-07,9.35416417971627e-07,9.03578961509888e-07,8.78380504164063e-07,8.63794129958973e-07,9.27866163805616e-07,8.97414765959512e-07,8.99666849529123e-07,8.58576572906031e-07,8.35680469145061e-07,8.16587734438181e-07,8.81834318054151e-07,9.25041687883672e-07,9.21348043129398e-07,8.78858934094309e-07
50,"BGD","Bangladesh",5.49221374982288e-07,5.39298609064652e-07,5.20411724757598e-07,5.04477785632589e-07,5.00142991316988e-07,5.02293269706021e-07,4.83187700985927e-07,4.71764775283025e-07,4.48200504229261e-07,4.4912577663625e-07,4.3715002392034e-07,4.34486196711586e-07,4.2854596194283e-07,4.15952528092889e-07,4.03339807591794e-07,3.90775459960912e-07,3.83755111125721e-07,3.63642278789698e-07,3.61237137594509e-07,3.54761530589074e-07,3.50279326625411e-07,3.37925773139389e-07,3.25058066553349e-07,3.10878979001911e-07,3.02579032426884e-07,2.97229893638478e-07,2.81589199922973e-07,2.74396118948199e-07,2.59342092949361e-07,2.61057427853177e-07,2.45185070998508e-07,2.3790146140961e-07,2.2590623557307e-07
52,"BRB","Barbados",4.31200742187382e-07,4.88752214510033e-07,5.02368259541478e-07,4.15261790031402e-07,4.26994943674314e-07,4.54329187738664e-07,4.53170945239074e-07,4.85617683454242e-07,4.77289134403755e-07,4.96582873684542e-07,5.00319500384519e-07,4.84396207049176e-07,4.76893803400067e-07,4.76895105127931e-07,4.78653880247707e-07,4.68029067404529e-07,4.41039281333093e-07,4.36533063479874e-07,4.93752282423086e-07,5.00764024113791e-07,4.78028794216863e-07,5.04653011364242e-07,4.74415072857317e-07,4.85685424304152e-07,4.53830258432042e-07,4.41859666308819e-07,4.32935314226675e-07,4.19561995685228e-07,4.26126377041227e-07,4.30031852105841e-07,3.84212780028113e-07,3.83233872104648e-07,3.50296657454164e-07
112,"BLR","Belarus",1.66319395333553e-06,1.60184987286467e-06,1.57854034956479e-06,1.51852311686547e-06,1.50254513756461e-06,1.54634273008917e-06,1.51070642986367e-06,1.3491412572255e-06,1.22138169741018e-06,1.15168508238146e-06,1.04138183261658e-06,9.80803721515965e-07,9.25769248906302e-07,8.80632070192689e-07,8.2568539139318e-07,7.61829378842046e-07,7.17999254794468e-07,6.48347990512343e-07,6.14944996881037e-07,6.01634980389875e-07,5.71406749577884e-07,6.14820162555677e-07,6.13331050999975e-07,6.16351570992494e-07,6.02606208136129e-07,5.98471188370013e-07,6.05748455301797e-07,6.00522701248846e-07,5.97567864752895e-07,5.88299427034708e-07,5.76858255362056e-07,5.7542752544614e-07,5.90310744230524e-07
56,"BEL","Belgium",4.14337790730811e-07,4.14708299528277e-07,4.05722716607841e-07,4.06467442303603e-07,4.05146859847371e-07,4.00193927792444e-07,4.0444712051131e-07,3.74453546850852e-07,3.837417372927e-07,3.58598732670204e-07,3.48520849247909e-07,3.41554132721317e-07,3.38956356108855e-07,3.36096200688466e-07,3.26153435790726e-07,3.1200121499769e-07,3.00265856497294e-07,2.84151024835547e-07,2.82784850452737e-07,2.63603547024656e-07,2.7107336880494e-07,2.48788458881012e-07,2.41120141836716e-07,2.40259594917214e-07,2.25525381733144e-07,2.27810852549441e-07,2.21455714126305e-07,2.15601525244124e-07,2.12557807457646e-07,2.06205737048675e-07,2.02072015902274e-07,1.97845816547926e-07,1.80465187333385e-07
84,"BLZ","Belize",5.77738060494062e-07,5.89411923863659e-07,5.10085599875958e-07,4.83449566225011e-07,4.81135018675556e-07,4.60688823862538e-07,4.12188896702629e-07,4.57845175194493e-07,4.39875526872938e-07,4.01821064055502e-07,3.77008892572082e-07,3.884108051363e-07,3.9326138750219e-07,3.87252695653558e-07,3.09897940490882e-07,3.22741980094228e-07,3.34734561369084e-07,3.48314147558062e-07,3.4455100767454e-07,3.88584793668817e-07,3.87650286617443e-07,4.17031717514713e-07,3.54980879589425e-07,3.65011950952917e-07,3.50033349838273e-07,3.95245945974126e-07,3.92684482245888e-07,3.92831012511033e-07,3.91898859580656e-07,4.10165291066008e-07,4.45785624332309e-07,4.14715619322877e-07,3.7909680262793e-07
204,"BEN","Benin",5.0259383575313e-07,5.03242090416204e-07,5.02154990452507e-07,4.91844457280197e-07,5.15681114360974e-07,4.73854496709131e-07,5.29178512366165e-07,5.17600601550751e-07,5.11775267829447e-07,5.06261578655212e-07,5.05119018601591e-07,4.42817567042697e-07,4.80988137610879e-07,4.70088638659858e-07,4.60842490548214e-07,4.90776457453745e-07,5.01910194987625e-07,5.08845118451769e-07,4.74784514948321e-07,4.87968080159919e-07,5.12688392033644e-07,5.02114969870708e-07,4.83615188424601e-07,4.76678932152901e-07,4.58078737500214e-07,4.72713582475447e-07,5.0992818094895e-07,4.94250640065507e-07,4.98420411695571e-07,4.73862605841313e-07,4.75508146435107e-07,4.59790533459391e-07,4.41267327763414e-07
