"code","iso","country","IFL.raw.2005","IFL.raw.2006","IFL.raw.2007","IFL.raw.2008","IFL.raw.2009","IFL.raw.2010","IFL.raw.2011","IFL.raw.2012","IFL.raw.2013","IFL.raw.2014","IFL.raw.2015","IFL.raw.2016","IFL.raw.2017","IFL.raw.2018","IFL.raw.2019","IFL.raw.2020","IFL.raw.2021","IFL.raw.2022"
120,"CMR","Cameroon",6.83418022678574e-05,6.81990534769924e-05,6.79522742440333e-05,6.96505130736928e-05,0.000132271183173991,0.000135479810533774,0.000134636869761172,0.000137890662959663,0.000195640521540866,0.000218575291423747,0.000240162117909997,0.00027738455677819,0.000325590831555907,0.000314405627455643,0.000296076556786375,0.000330748705384853,0.000357858197865916,0.000386591420720069
124,"CAN","Canada",0.00489388851181042,0.0055431383006624,0.00534260810545766,0.0054535037081197,0.00482428486161947,0.00426315020256731,0.00428167690808246,0.00456909331015967,0.00526342251162035,0.00600636346620519,0.00627959498167904,0.00594101553467912,0.00575893084447052,0.00501479358665792,0.00435370861705487,0.00349196506831743,0.003939351916511,0.00402742107266336
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",5.34900056972618e-05,6.07170996164222e-05,6.37649631984608e-05,9.90053410981399e-05,0.000103040285059744,0.000161250238498322,0.000162433329797221,0.000170653578926668,0.000168256473370731,0.000195971164133809,0.000169302102524883,0.000341956762423858,0.000508832086846848,0.000574399297830608,0.000673232827799174,0.000800467451766093,0.00075924815213893,0.000736147488582411
148,"TCD","Chad",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
152,"CHL","Chile",0.000351983385386174,0.000387428239118907,0.000327393934762423,0.000531396168208102,0.000602332164064886,0.000680221892541671,0.000798604185971789,0.00182856409730765,0.00159991460952795,0.00153222303073485,0.00144710816439952,0.00129461564012129,0.000178718145715474,0.000146753779998769,0.000128920676766275,0.000135119729742731,0.000136791779950091,0.000136619532430343
156,"CHN","China",0.00144036968234506,0.00122792759969974,0.00074284862290249,0.00081668182122787,0.000466919626231622,0.000391642679923076,0.00037928165034348,0.000336490358907756,0.000236884696744789,0.000173204722059637,0.000136542902302635,0.000150395768620447,0.000224054140370975,0.000242719780384824,0.000272975475640633,0.000321115101549111,0.000350337307799037,0.000309345850954905
170,"COL","Colombia",5.17503080183818e-05,6.1086534257236e-05,6.69508920781917e-05,8.0009382983916e-05,7.91264408297187e-05,9.17782253544273e-05,9.55171341522007e-05,0.000115798978741428,0.000126077364745095,0.000150474344290507,0.000147796337236633,0.000188881015061198,0.000251882467593811,0.000426737026581519,0.000559653298999638,0.000810409232717043,0.00095863164458132,0.00110253060829062
174,"COM","Comoros",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
184,"COK","Cook Islands",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
