"code","iso","country","PRS.raw.2015","PRS.raw.2018"
620,"PRT","Portugal",1.24026789502257,1.25708240253714
634,"QAT","Qatar",2.566937117292,2.70561892648993
178,"COG","Republic of Congo",1.94673385871569,1.52416243181612
642,"ROU","Romania",0.791628183449406,0.700375467381346
643,"RUS","Russia",1.43328195801833,2.11669861338692
646,"RWA","Rwanda",1.40071489241245,1.53614705352524
652,"BLM","Saint Barthelemy",1,1
659,"KNA","Saint Kitts and Nevis",1,1
662,"LCA","Saint Lucia",3.47685194015503,3.52472710609436
670,"VCT","Saint Vincent and the Grenadines",1,1
882,"WSM","Samoa",1,1
674,"SMR","San Marino",1.32436147120539,1.61107926690077
678,"STP","Sao Tome and Principe",3.21056675998506,2.48223082666947
682,"SAU","Saudi Arabia",1.743807992299,2.1116603961679
686,"SEN","Senegal",0.559729153734454,0.608920854633123
688,"SRB","Serbia",1.87501872564965,2.41656542698961
690,"SYC","Seychelles",1,1
694,"SLE","Sierra Leone",1.26831591128349,2.12309609303339
702,"SGP","Singapore",2.76124096793347,2.42918248702274
534,"SXM","Sint Maarten",1,1
703,"SVK","Slovakia",0.806279185500975,0.91903756426648
705,"SVN","Slovenia",1.16790113931289,1.31023231636677
90,"SLB","Solomon Islands",2.9877258577037,2.607366209172
706,"SOM","Somalia",0.711742179978827,0.292469700299604
710,"ZAF","South Africa",1.21755176069652,1.19182257560846
410,"KOR","South Korea",2.63745017610325,2.32808283760718
728,"SSD","South Sudan",0.953039325269032,1.38831384050427
724,"ESP","Spain",1.42046653614178,1.44939190215411
144,"LKA","Sri Lanka",2.02704651598506,1.74222643179716
275,"PSE","State of Palestine",3.30619678916322,2.52473582787627
729,"SDN","Sudan",0.75431250502894,1.13627257511088
740,"SUR","Suriname",3.576780169328,3.22656925013301
752,"SWE","Sweden",0.974588429539684,1.05539001008676
756,"CHE","Switzerland",1.86382282547096,2.20980657048826
760,"SYR","Syria",0.733656378868084,1.36702887666806
158,"TWN","Taiwan",3.14854029181285,2.93433172522886
762,"TJK","Tajikistan",0.783455256294146,1.92420589280467
834,"TZA","Tanzania",0.0147853498615703,0.0190599826878798
764,"THA","Thailand",1.88502543421401,2.36089418882105
626,"TLS","Timor-Leste",0.227001771123662,0.129773325055195
768,"TGO","Togo",0.808802970253704,1.07721148180901
776,"TON","Tonga",4.53019391725582,4.63373299216195
780,"TTO","Trinidad and Tobago",3.4790368533145,3.18863556953872
788,"TUN","Tunisia",2.02466760561802,1.81265852723935
792,"TUR","Turkiye",1.89667743137811,2.56908729177363
795,"TKM","Turkmenistan",0.605005226981722,1.24822679543243
796,"TCA","Turks and Caicos Islands",1,1
798,"TUV","Tuvalu",1,1
800,"UGA","Uganda",0.104729647651476,0.326880000894167
804,"UKR","Ukraine",1.66277940050083,1.58941652759771
784,"ARE","United Arab Emirates",3.08136272494399,2.84807446201386
826,"GBR","United Kingdom",0.738050925181887,1.03377480593721
840,"USA","United States of America",1.93920789003172,1.90070085625474
858,"URY","Uruguay",1.19665934169414,1.17700360290516
860,"UZB","Uzbekistan",1.32338080596091,2.4430578623831
548,"VUT","Vanuatu",3.13329451819267,2.59739448593506
862,"VEN","Venezuela",2.64693338612159,2.36100627643828
704,"VNM","Viet Nam",1.8858858370094,1.82538737433893
876,"WLF","Wallis and Futuna Islands",1,1
732,"ESH","Western Sahara",0.560634636803254,1.14626560014155
887,"YEM","Yemen",0.70409753163513,1.06421722891225
894,"ZMB","Zambia",1.14629141418871,0.63588553428908
716,"ZWE","Zimbabwe",0.742040649955518,0.865242184468559
