"code","iso","country","SDA.raw.1990","SDA.raw.1991","SDA.raw.1992","SDA.raw.1993","SDA.raw.1994","SDA.raw.1995","SDA.raw.1996","SDA.raw.1997","SDA.raw.1998","SDA.raw.1999","SDA.raw.2000","SDA.raw.2001","SDA.raw.2002","SDA.raw.2003","SDA.raw.2004","SDA.raw.2005","SDA.raw.2006","SDA.raw.2007","SDA.raw.2008","SDA.raw.2009","SDA.raw.2010","SDA.raw.2011","SDA.raw.2012","SDA.raw.2013","SDA.raw.2014","SDA.raw.2015","SDA.raw.2016","SDA.raw.2017","SDA.raw.2018","SDA.raw.2019","SDA.raw.2020","SDA.raw.2021","SDA.raw.2022"
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0562386102680434,-0.0515510075529047,-0.054086281325322,-0.041831640340946,-0.0275107675483718,-0.0108544269223736,-0.0017704518139349,0.00336957957563677,-0.00397805452274611,-0.0080473946080398,-0.00606505034812218,-0.00449966983736398,-0.00525924226205146,-0.00735570244351549,-0.012036959320604,-0.0112290976257574,-0.0184607059555391,-0.0334034445290337,-0.0538292803778334,-0.0544254109916535,-0.0461568051490376,-0.0623985130367071,-0.0504162935012818,-0.0414654001220389
40,"AUT","Austria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.161566921774828,-0.153240918425432,-0.127227557472439,-0.120913413597223,-0.106026899719931,-0.108827688299488,-0.101064768156813,-0.0840546517093822,-0.0816722154882066,-0.0970002198976336,-0.135465699452979,-0.152454803705565,-0.157074362805753,-0.151354211194849,-0.13975281329622,-0.129634329292003,-0.112690264704798,-0.0844662726623794,-0.0627688784333337,-0.0520741422264217,-0.0725613980471709,-0.0761737184282323,-0.0727094312632437,-0.0649902134467575
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.00092772239805078,0.00222042901088448,-0.0161711667873935,-0.0579781797610863,-0.0781899841338106,-0.125782093027087,-0.141974156136148,-0.172158415500664,-0.196792463749696,-0.228608664021724,-0.288447793398725,-0.35182516588094,-0.409685008668458,-0.427380168136733,-0.403673386674856,-0.395463103438335,-0.22972993146696,-0.064876059447063,0.0231244542938709,0.0391914451152697,0.0283133762557903,-0.017463660430905,-0.0232488549179778,-0.0161256514370682
44,"BHS","Bahamas",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0023210383983481,-0.00265724641241459,-0.0136624591518361,-0.120815164852944,-0.223115165480223,-0.291287719413774,-0.326846630995799,-0.330935352476957,-0.317891823316751,-0.28309828472208,-0.174155733881813,-0.0423703918927714,0.0164023494287799,0.00317782922820742,-0.0123651766371028,-0.0178640005099584,-0.0230069653979303,-0.0314883695522919,-0.0319312461386141,-0.0539480549965205,-0.0354598186551392,-0.000251203506566789,-0.0040147589325579,-0.0041283219574957
48,"BHR","Bahrain",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0914501588292018,0.0688314394082965,0.0415491022939614,0.0225975648660348,0.0247310716057596,0.024892409930733,0.0421311925878833,0.0754403688499674,0.0942536562216632,0.0968368330019092,0.0843690181339396,0.067598762652114,0.0492526212521167,0.0278941111950217,0.00597246257732054,-0.0204535794450095,-0.0279828097009926,-0.00303142332766786,0.0120430731304826,0.0207745742045324,0.036389546116127,0.0534738878237244,0.0660713546864571,0.0724567577288939
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0201430314242392,0.0127973904307972,0.00640545670678283,0.000729282644549523,-0.005176915208941,-0.0176920839439512,0.000557977938735688,0.00691223010384334,0.0206973343004315,0.0344373446621222,0.0486320352850094,0.0564932380831173,0.0757047237456596,0.103031144049783,0.123997064839878,0.135450187156575,0.148235080634578,0.154507123435411,0.155650842249759,0.154881267753376,0.139346291442536,0.106000114433323,0.102219328352343,0.105956685171996
52,"BRB","Barbados",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00715527717192677,0.0103375658976268,0.0245835842872268,-0.0445448128922293,-0.082833335542814,-0.165596458229185,-0.222963082741454,-0.25077608763255,-0.232513493963574,-0.148034949488114,-0.0600578666408969,-0.00599972025603465,0.0334621917672555,0.00862115884369219,-0.00315351213037021,-0.00757834328275079,-0.0145799249879431,-0.0277900156396219,-0.0372741948707606,-0.0403957985868225,-0.0274527485803245,-0.00477292747355502,-0.00923927497363922,-0.00514182500864342
112,"BLR","Belarus",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0608260752094821,-0.097410374673159,-0.13860227863802,-0.169077596042163,-0.172981585746842,-0.175818142795801,-0.183957129412134,-0.158000085755235,-0.165343459191281,-0.141589692822169,-0.0390399232843953,-0.0308780736211699,-0.0469172352638753,-0.0530735111127287,-0.0754822889528833,-0.0923110230358671,-0.106698140310636,-0.0944775182861851,-0.11735024656265,-0.129995191340182,-0.0813781298752063,-0.0365401184906719,-0.0178411415701253,-0.000740230286472847
56,"BEL","Belgium",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.148159554550014,-0.163772219133103,-0.165596048449539,-0.159202278667519,-0.144346261135453,-0.126501614454945,-0.119495154509864,-0.110101928228525,-0.105224617517644,-0.118561654591733,-0.158829351777795,-0.205169540011213,-0.243808435852849,-0.274410413017706,-0.2926956518514,-0.286761700506389,-0.262092688769812,-0.238241261185147,-0.2022611403279,-0.167289962816756,-0.14369530170732,-0.14144678960443,-0.14203883912817,-0.137567130196503
84,"BLZ","Belize",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0540126383188027,0.0668064111856725,0.0806017721825556,-0.0159863804999653,-0.0995814935713693,-0.193214636692495,-0.265164058259185,-0.319197214368335,-0.303706899688883,-0.253725542817772,-0.137250560030386,-0.0320680283650671,0.0292578528840213,0.00978601256329625,-0.00551542044695715,-0.026238113963635,-0.0428508219958149,-0.055340267928398,-0.048032316480814,-0.0333647982081437,-0.0163401965825215,0.0031092445699854,-0.00350686032084952,-0.00281913646754806
