"code","iso","country","SPI.raw.1980","SPI.raw.1981","SPI.raw.1982","SPI.raw.1983","SPI.raw.1984","SPI.raw.1985","SPI.raw.1986","SPI.raw.1987","SPI.raw.1988","SPI.raw.1989","SPI.raw.1990","SPI.raw.1991","SPI.raw.1992","SPI.raw.1993","SPI.raw.1994","SPI.raw.1995","SPI.raw.1996","SPI.raw.1997","SPI.raw.1998","SPI.raw.1999","SPI.raw.2000","SPI.raw.2001","SPI.raw.2002","SPI.raw.2003","SPI.raw.2004","SPI.raw.2005","SPI.raw.2006","SPI.raw.2007","SPI.raw.2008","SPI.raw.2009","SPI.raw.2010","SPI.raw.2011","SPI.raw.2012","SPI.raw.2013","SPI.raw.2014","SPI.raw.2015","SPI.raw.2016","SPI.raw.2017","SPI.raw.2018","SPI.raw.2019","SPI.raw.2020","SPI.raw.2021","SPI.raw.2022","SPI.raw.2023","SPI.raw.2024"
64,"BTN","Bhutan",25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,55.82,55.82,55.82,55.82,55.82,55.82,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,68.19,68.19,68.19,68.19,68.19,68.19,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2
68,"BOL","Bolivia",20.25,20.25,20.25,20.25,20.25,20.25,21.2,21.2,30.96,32.46,41.45,42.16,43.71,44.67,44.67,55.82,55.88,57.85,59.43,59.43,60,61.62,63.26,63.26,64.05,64.29,64.34,66.72,66.75,66.83,67.35,67.35,67.35,69.06,69.06,69.06,69.06,69.06,69.06,69.06,69.06,69.06,69.06,69.06,69.38
70,"BIH","Bosnia and Herzegovina",2.22,2.24,2.24,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.42,8.46,8.46,8.61,8.66,8.9,17.59,18.34,18.34,18.58,18.58,18.6,19.15,19.18,19.19,19.53,19.63,19.88,21.38,21.94,21.97,21.97,21.98
72,"BWA","Botswana",78.23,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,81.3,81.51,81.51,81.51,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72,93.72
76,"BRA","Brazil",5.38,5.71,6.64,7.86,9.69,12.12,12.18,15.4,17.9,24.13,27.24,27.71,29.31,30.29,34.33,35.81,37.37,41.16,44.79,47.07,49.74,52.29,55.13,56.1,56.97,57.43,58.98,59.64,61.05,62.07,64.68,65.04,65.58,66.15,66.55,66.72,67.25,68.28,69.2,69.26,69.32,69.41,69.53,69.55,69.61
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",53.78,53.78,54.56,54.56,56.33,56.36,56.36,63.34,63.34,63.34,63.34,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.33,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.58
100,"BGR","Bulgaria",0.82,0.84,0.84,0.85,0.86,0.87,0.9,0.91,0.91,0.91,0.93,0.93,0.93,0.93,0.96,0.98,0.98,1.3,1.3,1.3,1.31,1.32,1.35,1.35,1.36,1.36,1.37,20.33,91,91,91,91.07,91.25,91.31,91.31,91.31,91.4,91.4,91.48,91.48,91.49,91.49,91.49,91.49,91.49
854,"BFA","Burkina Faso",54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.46,55.46,55.46,55.46,55.46,63.71,63.84,78.19,78.19,78.19,78.19,78.19,78.19,83.26,83.64,86.27,89.75,89.82,89.82,89.82,89.82,89.82,89.82
108,"BDI","Burundi",27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.88,27.88,27.88,27.88,27.93,27.93,27.93,27.93,27.93,27.93,27.93,28.56,28.56,29.46,29.46,29.46,29.46,29.46,29.46,29.46,29.46,29.46,29.48,29.48,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,36.95
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,3.45
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,58.04,58.04,58.05,58.3,58.3,58.31,58.31,58.31,58.39,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.41,58.41,58.41,58.41,58.41,58.41,58.41,85.01,90.75,90.96,91.06,91.06,91.06,91.06,91.06,91.06
120,"CMR","Cameroon",1.8,1.8,1.8,1.8,1.8,1.8,3.35,3.35,3.35,3.35,3.39,3.43,3.43,3.43,3.43,3.43,4.5,4.5,4.5,4.5,9.36,11,11.01,11.01,12.19,16.9,16.9,23.83,24.96,26.49,27.08,27.08,28.08,28.08,29.42,29.98,29.98,29.98,30.95,30.95,30.95,30.95,30.95,30.95,30.95
124,"CAN","Canada",22.66,23.35,25.82,27.52,27.94,28.23,29.16,32.05,32.25,33.18,33.42,33.52,33.8,34.6,35.08,37.57,39.47,40.41,41.56,42.75,43.76,46.51,47.07,50.05,50.85,52.41,53.46,54.67,57.42,58.52,58.92,60.66,63.49,64.69,65.03,66.78,67.39,67.92,70.57,75.16,78.2,81.01,82.11,82.11,82.11
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",46.17,46.17,46.17,46.17,46.17,46.17,46.17,46.17,46.17,46.17,52.44,52.44,53.55,53.55,53.55,53.55,53.55,53.55,55.11,55.11,55.11,55.11,55.11,55.11,55.11,56.83,56.86,56.86,56.86,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,59.36,76.68
