"code","iso","country","PME.raw.1998","PME.raw.1999","PME.raw.2000","PME.raw.2001","PME.raw.2002","PME.raw.2003","PME.raw.2004","PME.raw.2005","PME.raw.2006","PME.raw.2007","PME.raw.2008","PME.raw.2009","PME.raw.2010","PME.raw.2011","PME.raw.2012","PME.raw.2013","PME.raw.2014","PME.raw.2015","PME.raw.2016","PME.raw.2017","PME.raw.2018","PME.raw.2019","PME.raw.2020","PME.raw.2021","PME.raw.2022"
191,"HRV","Croatia",22.5474208030585,21.0079080189058,21.256633467937,23.1253120732647,24.2075718217406,24.2133566212992,22.4205009391331,23.1801147757708,24.4112678633593,19.9119744937669,20.5876014389586,20.8214874635056,20.903343302041,24.0135962412911,20.2901656016613,19.2181274736628,17.9337413627813,20.1136211716834,19.2335344847269,18.5258638789336,19.3833973368822,16.0320735405773,15.263179264817,15.5046914782968,16.5341786648093
192,"CUB","Cuba",11.6039391228735,10.5022740329567,12.0302131853194,12.0083771781137,11.7651286793364,11.2491335448177,10.2872134723507,10.4489693060404,10.3117272400112,10.7085339286576,9.1228935470788,9.50403053752415,9.49626427639136,10.3166675540191,9.15740888599182,9.23807617274233,8.95912530316927,9.19064985992046,8.94691894331944,9.38760131845032,9.59733638118615,9.11036259076227,9.83785702011792,9.67243227175332,9.26972287767671
531,"CUW","Curacao",10.5734556758394,10.325418810801,10.9300409113605,11.208634258594,11.3901089751125,11.923250215533,10.6084779884959,11.0945409450594,11.0264444082963,12.1020173246533,10.7978044792721,11.4156876633194,12.5161605923223,10.8889995493908,11.4970179512379,10.947849179255,10.3831032013049,11.7836929202739,11.6018314619956,11.6712787941825,10.5432562308618,10.9173201424674,11.107054763941,11.1818093275789,11.1554583397688
196,"CYP","Cyprus",16.1677927162574,15.9407363939243,19.0937945918391,18.7715355551888,17.5506051919089,17.7993294756618,17.4724173268169,17.2012090176109,18.6354215604444,19.5426363976612,21.0340077125137,20.7465459634915,21.7087324077626,23.1784061315363,24.352693285619,17.9010083620685,17.9358343630568,17.2515803027039,16.207988080064,17.072485739875,15.3729017876332,15.9009908787873,16.2627558830262,15.9019979706575,20.6163958245215
203,"CZE","Czech Republic",21.8066885734514,20.5328198925248,20.483927228823,22.1317388067342,24.7221892708688,23.5642440027951,21.232149484274,23.3322451936221,24.0208534082313,17.4770621669597,17.8953206439513,19.2847094919573,21.6367785953043,20.5888906136618,18.4156375265761,19.1928710935005,18.6512765927504,16.762692278721,16.5064098880747,16.4086117609583,17.6395652619354,13.3900950987891,12.7484651589837,13.8790331803869,12.8307739703723
180,"COD","Dem. Rep. Congo",35.0280255259376,25.717326384054,34.3910565239052,38.471059470178,38.1712256929619,35.4397986873845,38.877439046278,38.3519541411605,32.3437382148424,35.4251682667994,37.8278145117528,36.7074903684981,40.1461175118327,37.6256727534636,40.4839850672608,41.5167821503623,36.4899386887835,40.5511833130382,37.0884612034687,32.7634327935244,33.5671011548014,37.3855326112089,36.1510931833636,36.8202179903046,36.8041142215498
208,"DNK","Denmark",13.1271204447714,12.9292233919328,13.2474880653038,11.7106405101877,12.741057094767,13.9134119367117,10.4808731824007,10.7237521314801,12.0207585795704,10.7106878808296,10.5342589408825,11.3793666080927,11.3153062662485,13.3762502943439,9.66476165799731,9.18914228601009,10.993168099524,9.13131058942023,8.70548251815958,8.49886084744829,10.3164008223555,9.06585729054444,7.54510336607298,7.86222524935512,8.18599462644081
262,"DJI","Djibouti",25.1263119864948,29.7404922309735,36.6683542349164,33.1359313787401,33.5022736611023,33.9507147255133,35.3636324833736,34.9210073109575,33.9083122879595,35.1028167278188,36.8505028930038,35.3765205857114,36.1000338657497,41.1976012064666,44.2168155293808,41.2715636131693,36.4852915347952,40.8288041607696,37.9591368149111,41.3344931944443,38.9089622252545,39.039148218218,37.7049724887436,34.417203743264,37.331959027767
212,"DMA","Dominica",10.1840123813644,11.8024934880202,11.3915268713094,11.4672946766898,11.2399450733207,10.8392212231637,10.2321116328326,11.5229480018856,11.5972605132678,11.8438845683089,9.85221867002706,11.9708458553706,12.6090635123188,11.119527159185,11.8784222965113,9.62438952253904,8.56482199649713,11.5089453707052,12.0100448301772,11.5821997827715,11.5225543149404,10.297952696447,10.7895213584962,11.6226275566597,10.4327196280511
214,"DOM","Dominican Republic",11.5945704692689,11.2408580085412,12.3496897304623,13.9133568827826,13.8881949418166,14.2677232021556,11.8856587074978,14.3543440515319,13.2634355122709,13.9423697301615,11.9895633028743,12.2714581111516,13.5542222194695,12.3107211385183,11.7895510803796,12.0759193791084,12.7071525202743,12.9118894562224,12.9987480303566,13.8343819287766,13.8360288182691,13.138018823781,12.7245269274389,13.5190713365032,12.727091299881
